id	role	alias	tag
8610	Carpenter	carpenter	PERFORMER
6456	Cartographer	cartographer	PERFORMER
9400	Case Layout	case layout	PERFORMER
422	Cast	cast	PERFORMER
5114	Cast Attendant	cast attendant	PERFORMER
910	Cast Coordinator	cast coordinator	PERFORMER
4641	Cast Director	cast director	PERFORMER
2485	Cast Hair Stylist	cast hair stylist	PERFORMER
2486	Cast Make-up Artist	cast make-up artist	PERFORMER
7303	Cast Management Assistance	cast management assistance	PERFORMER
1546	Castanets	castanets	PERFORMER
1605	Casting Assistance	casting assistance	PERFORMER
5047	Casting Company	casting company	PERFORMER
1008	Casting Coordinator	casting coordinator	PERFORMER
6450	Casting Desk	casting desk	PERFORMER
5044	Casting Director	casting director	PERFORMER
423	Casting Manager	casting manager	PERFORMER
5112	Casting Producer	casting producer	PERFORMER
3332	Cat	cat	PERFORMER
2928	Catering	catering	PERFORMER
6895	Cathedral Organ	cathedral organ	PERFORMER
5158	Caution Video Production	caution video production	PERFORMER
5242	Cavaco	cavaco	PERFORMER
523	Cavaquinho	cavaquinho	PERFORMER
10185	Cave Cell	cave cell	PERFORMER
880	Caxixi	caxixi	PERFORMER
8909	CCD Remote Operator	ccd remote operator	PERFORMER
1914	CD Design Director	cd design director	PERFORMER
1087	CD Designer	cd designer	PERFORMER
1564	CD Editor	cd editor	PERFORMER
2457	CD Executive Producer	cd executive producer	PERFORMER
8869	CD Graphic Design	cd graphic design	PERFORMER
8006	CD Music	cd music	PERFORMER
1438	CD Package Designer	cd package designer	PERFORMER
3991	CD Package Editor	cd package editor	PERFORMER
5383	CD Promotion	cd promotion	PERFORMER
4094	CD Promotion Assistant	cd promotion assistant	PERFORMER
4159	CD Promotion Desk	cd promotion desk	PERFORMER
3947	CD Sound	cd sound	PERFORMER
7225	CD Sound Editor	cd sound editor	PERFORMER
9741	CD Sound Effects	cd sound effects	PERFORMER
5357	CD Sound Production	cd sound production	PERFORMER
5359	CD Sound Production Director	cd sound production director	PERFORMER
5358	CD Sound Production Producer	cd sound production producer	PERFORMER
7095	CD-DA Original Composer	cd-da original composer	COMPOSER
7505	CD-Extra Authoring	cd-extra authoring	PERFORMER
2247	CD-Extra Coordinator	cd-extra coordinator	PERFORMER
4421	CD-Extra Designer	cd-extra designer	PERFORMER
7819	CD-Extra Director	cd-extra director	PERFORMER
4420	CD-Extra Engineer	cd-extra engineer	PERFORMER
5411	CD-Extra Producer	cd-extra producer	PERFORMER
4912	CD-Extra Production	cd-extra production	PERFORMER
4607	CD-Extra Programming	cd-extra programming	PERFORMER
5128	CD-Extra Project Planner	cd-extra project planner	PERFORMER
4187	CD-R Burning	cd-r burning	PERFORMER
7490	CD-R Production	cd-r production	PERFORMER
6870	CD-ROM Coordinator	cd-rom coordinator	PERFORMER
8532	CD-ROM Designer	cd-rom designer	PERFORMER
6871	CD-ROM Director	cd-rom director	PERFORMER
4527	CD-ROM Operator	cd-rom operator	PERFORMER
8723	CD-ROM Production	cd-rom production	PERFORMER
9732	CD+G Artwork	cd+g artwork	PERFORMER
7096	CDDA Arranger	cdda arranger	ARRANGER
9716	CDDA Composer	cdda composer	COMPOSER
9719	CDDA Director	cdda director	PERFORMER
7099	CDDA Mastering Engineer	cdda mastering engineer	PERFORMER
9718	CDDA Mastering Studio	cdda mastering studio	PERFORMER
7097	CDDA Music Producer	cdda music producer	PERFORMER
7100	CDDA Music Publisher	cdda music publisher	PERFORMER
7101	CDDA Performer	cdda performer	PERFORMER
7102	CDDA Presenter	cdda presenter	PERFORMER
7098	CDDA Recording Engineer	cdda recording engineer	PERFORMER
9717	CDDA Recording Studio	cdda recording studio	PERFORMER
